name,url,price,texture
Ambrosia,https://minecraft-heads.com/custom-heads/food-drinks/31296-ambrosia,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvOTViODI3NGY1ZjI1MmJjODRhZmU4NTA4MzlkOWJlNzdhODA4ZmFjZDk0Njk0MmUxYzAwMGMzY2JlNGIzYzQ4NiJ9fX0=
Beer Barrel,https://minecraft-heads.com/custom-heads/decoration/26157-beer-barrel,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNDg0MzdmZWU3NDljYmQ2OGYzNDQzYmIwNmU0NTA1OGE2ODdjMGZjYTk2NDM2Y2FkYjUzOGNhZDU5YjUyMTZjNiJ9fX0=
Bottle of Wine,https://minecraft-heads.com/custom-heads/food-drinks/25999-bottle-of-wine,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYWMxYjE3Y2M2YzljNzYwZDc4NjE5MjUzYmE0ZjZjY2ZmNDE1MjRhZWMxMDViMWQyNjQxYTc0ZjM1Njk2NzgzMSJ9fX0=
Bowl of Salad and Tomato,https://minecraft-heads.com/custom-heads/food-drinks/35715-bowl-of-salad-and-tomato,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNjUwOTljMGI0OTkxZTNjZmE5OTFiYmM4NWJlNmQ4ZWEyZjlmYmJkODlmOGU1OWFlMmZjYjNmZGMwMzM0MmU3OSJ9fX0=
Burger,https://minecraft-heads.com/custom-heads/food%20&%20drinks/79-burger,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvYTZlZjFjMjVmNTE2ZjJlN2Q2Zjc2Njc0MjBlMzNhZGNmM2NkZjkzOGNiMzdmOWE0MWE4YjM1ODY5ZjU2OWIifX19
Cake,https://minecraft-heads.com/custom-heads/food-drinks/33897-cake,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNjE3MWRkMmUzNzhjMmIxM2Q5MGNlNmMyNDQxYmQyODI3NjYwNGRkOWE1ZWQ3NDc4ZDFmZWY4NDJiYjdmZDUyYSJ9fX0=
Cake (apple),https://minecraft-heads.com/custom-heads/food-drinks/34734-apple-cake,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvZDA2MmQzNzEyMDFlNWFjYWFjZmU3N2U5ZmM0MTYwODU4MGI5Mzk3MDU0N2ZkMWYyZmI4MmU0NzQzNzQ4YTQzZiJ9fX0=
Cake (brown),https://minecraft-heads.com/custom-heads/food-drinks/26729-cake-brown,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvNDAzOGJmNmM2ZDZiNDkzOWZjZThkM2Y5MTBiNTI3OTIxMzQ2N2ZlYWRlZWQzYWVjODhlY2FlNGVlOTZhZDk1NCJ9fX0=
Cake (chocolate),https://minecraft-heads.com/custom-heads/food-drinks/34735-chocolate-cake,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvZGNmZmJjYzlkZWY5NDIwZTBkMTgzMWIwN2U0OTU2OGRhZGQzMjNhNDcwMjJkYjA4MGFkNGUyYTI0MWI5MmI4In19fQ==
Cake Slice (red velvet),https://minecraft-heads.com/custom-heads/food-drinks/29903-red-velvet-cake-slice,1,eyJ0ZXh0dXJlcyI6eyJTS0lOIjp7InVybCI6Imh0dHA6Ly90ZXh0dXJlcy5taW5lY3JhZnQubmV0L3RleHR1cmUvN2RhOTVhZDAyMjY5YzI0NjYzZDdhMzQ3ODllODQzNDJhNjkwNWMwZDgxYzc5MGU2MzEzYjczODcxYmE4NzBiOSJ9fX0=
